10,0.18
11,0.108
12,0.11
13,0.082
14,0.063
15,0.048
16,0.042
17,0.046
18,0.034
19,0.024
20,0.025
21,0.018
22,0.02
23,0.02
24,0.011
25,0.009
26,0.006
27,0.01
28,0.017
29,0.01
30,0.009
31,0.006
32,0.002
33,0.007
34,0.001
35,0.005
36,0.003
37,0.004
38,0.004
39,0.002
40,0.003
41,0.004
42,0.005
43,0.002
44,0.002
45,0.003
46,0.001
47,0.003
48,0.002
49,0.003
50,0.002
52,0.004
54,0.002
55,0.002
56,0.001
58,0.001
59,0.002
60,0.002
63,0.003
65,0.001
66,0.001
70,0.002
73,0.001
75,0.001
76,0.001
79,0.001
81,0.001
82,0.001
83,0.001
89,0.001
90,0.001
96,0.001
97,0.001
98,0.001
101,0.001
159,0.001
164,0.001
173,0.002
178,0.001
192,0.001
202,0.001
213,0.001
221,0.001
231,0.001
